,score,text,token_review
15,0, 신혜선 옷 이쁘다 요즘 입어도 될 듯 ,"['신혜선', '옷', '이쁘다', '요즘', '입어도', '될', '듯']"
16,0, 신혜선  이종석 연기 정말 잘 한다  이쁘고 잘생겼다  ,"['신혜선', '이종석', '연기', '정말', '잘', '한다', '이쁘고', '잘생겼다']"
17,1, 어휴 갑갑하다 ,"['어휴', '갑갑하다']"
18,1, 이종석 방귀 잘 뀔 거 같아 냄새 독하다던데 ,"['이종석', '방귀', '잘', '뀔', '거', '같아', '냄새', '독하다던데']"
19,0, 윤균상 너무 멋있고 유정 너무 사랑스럽고  연기 둘 너무 잘  ,"['윤균상', '너무', '멋있고', '유정', '너무', '사랑스럽고', '연기', '둘', '너무', '잘']"
20,1, 왜 저렇게 머리 어울리나 했더니 이마 너무 좁아서 그런 듯 ㅋㅋ 헤어 좀 바꿔요 더 아저씨 같아요 ,"['왜', '저렇게', '머리', '어울리나', '했더니', '이마', '너무', '좁아서', '그런', '듯', 'ㅋㅋ', '헤어', '좀', '바꿔요', '더', '아저씨', '같아요']"
21,1, 뒤 룩 뒤 룩 돼지 지금 누구 거절 함  ,"['뒤', '룩', '뒤', '룩', '돼지', '지금', '누구', '거절', '함']"
22,1, 윤균상 폰 파리 같이 생겼음 ,"['윤균상', '폰', '파리', '같이', '생겼음']"
23,1, 아니 다른 김태리 이병헌 존나 심하긴 한데 그래도 김유정 윤균상 좀  너무 거 아니냐  ㅡㅡ 유정 불쌍해 ㅡㅡ ,"['아니', '다른', '김태리', '이병헌', '존나', '심하긴', '한데', '그래도', '김유정', '윤균상', '좀', '너무', '거', '아니냐', 'ㅡㅡ', '유정', '불쌍해', 'ㅡㅡ']"
24,0, 재밌다 흥 해라 ,"['재밌다', '흥', '해', '라']"
25,0, 드라마 주연 대박 웃김 ,"['드라마', '주연', '대박', '웃김']"
26,1, 조연 하나 웃기는 게 함정 인 드라마 ,"['조연', '하나', '웃기는', '게', '함정', '인', '드라마']"
27,0, 재밌다  드라마 자체 아직 까지 코믹 자체 ,"['재밌다', '드라마', '자체', '아직', '까지', '코믹', '자체']"
28,0, 단아 문채원 좋다 ,"['단아', '문채원', '좋다']"
29,0, 문채원 한복 너무 잘 어울려 ,"['문채원', '한복', '너무', '잘', '어울려']"
30,0, 문채원 따라 붙는 김심 잘 한다 선녀 님 김심 지킨다 ㅋㅋ 파이팅  ,"['문채원', '따라', '붙는', '김심', '잘', '한다', '선녀', '님', '김심', '지킨다', 'ㅋㅋ', '파이팅']"
31,0, 문채원 볼수록 기분 좋아지는 배우 ,"['문채원', '볼수록', '기분', '좋아지는', '배우']"
32,0, 윤현민 정교수 역할 잘 하는데 왜 부정 인 댓글 많은지 모르겠다 ,"['윤현민', '정교수', '역할', '잘', '하는데', '왜', '부정', '인', '댓글', '많은지', '모르겠다']"
33,1, 아니 원작 에도 없는 내용 넣을 거 였으면 재미 라도 있었어야지 키스신 보는데 화만 나고 ,"['아니', '원작', '에도', '없는', '내용', '넣을', '거', '였으면', '재미', '라도', '있었어야지', '키스신', '보는데', '화만', '나고']"
34,0, 꽃 물주 문채원 너무 예뻐 정교수 김심 신 경전 재밌다 유치한대 재밌음 2 근데 쓸데없는 얘기 좀 짧게 했으면 ,"['꽃', '물주', '문채원', '너무', '예뻐', '정교수', '김심', '신', '경전', '재밌다', '유치한대', '재밌음', '2', '근데', '쓸데없는', '얘기', '좀', '짧게', '했으면']"
35,0, 우리 김심 힘내야 해 ,"['우리', '김심', '힘내야', '해']"
36,1, 저리 매력 없는 남주는 오래간만 보네 ,"['저리', '매력', '없는', '남주는', '오래간만', '보네']"
37,0, 남주를 응원 해보긴 또 처음 이네 요 김 김 파이팅  ,"['남주를', '응원', '해보긴', '또', '처음', '이네', '요', '김', '김', '파이팅']"
38,1, 전기 아끼느라 그러셨나 막판 주인공 얼굴 보이네요  제 작 진 님 들아 일 좀 똑 떼 합시다 ,"['전기', '아끼느라', '그러셨나', '막판', '주인공', '얼굴', '보이네요', '제', '작', '진', '님', '들아', '일', '좀', '똑', '떼', '합시다']"
39,1, 오늘 꺼 너무 지루해서 폰 했네 ,"['오늘', '꺼', '너무', '지루해서', '폰', '했네']"
40,0, 연기 잘 듯 ,"['연기', '잘', '듯']"
41,0, 너무 좋아 힐링 드라마 ,"['너무', '좋아', '힐링', '드라마']"
42,0, 거 너무 재밌다 ,"['거', '너무', '재밌다']"
43,1, 키스신 좀 아닌 듯 키스 하려다 마는 걸 가지 그랬어 ,"['키스신', '좀', '아닌', '듯', '키스', '하려다', '마는', '걸', '가지', '그랬어']"
44,1, 야 솔직히 문채원 국어 책 연기 개 짜증 난다 ㅋㅋㅋ 어금니 꽉 물 연기 하냐 ㅋㅋㅋ ,"['야', '솔직히', '문채원', '국어', '책', '연기', '개', '짜증', '난다', 'ㅋㅋㅋ', '어금니', '꽉', '물', '연기', '하냐', 'ㅋㅋㅋ']"
45,1, 거 몇 부 작이길래 조연 분량 매회 이렇게 많지  얼른 남편 찾기 본격 좀 하시죠 감독 님 ,"['거', '몇', '부', '작이길래', '조연', '분량', '매회', '이렇게', '많지', '얼른', '남편', '찾기', '본격', '좀', '하시죠', '감독', '님']"
46,0, 이분 한복 잘 어울려 ,"['이분', '한복', '잘', '어울려']"
47,1, 연예계 썩을 대로 썩었지 성매매 약 쟁이 도박 꾼 음주 살인 간통 년 까지 ,"['연예계', '썩을', '대로', '썩었지', '성매매', '약', '쟁이', '도박', '꾼', '음주', '살인', '간통', '년', '까지']"
48,1, 사귀었던 거 쪽팔려서 쉬쉬 놈 졸라 게 엮어 서 같이 죽자는 거 냐 뭐 냐 ㅋㅋㅋ ‥ ,"['사귀었던', '거', '쪽팔려서', '쉬쉬', '놈', '졸라', '게', '엮어', '서', '같이', '죽자는', '거', '냐', '뭐', '냐', 'ㅋㅋㅋ', '‥']"
49,0, 선정 씨 너무 결혼 가볍게 보셨으면 해 요  당장 감정 결혼 아니라  결혼 책임 과 희생 입니다  때론 내 손해 보는듯 해도  양보  말투 예쁘게 다듬어 보세요  얼굴 예쁘신 분 ;; ,"['선정', '씨', '너무', '결혼', '가볍게', '보셨으면', '해', '요', '당장', '감정', '결혼', '아니라', '결혼', '책임', '과', '희생', '입니다', '때론', '내', '손해', '보는듯', '해도', '양보', '말투', '예쁘게', '다듬어', '보세요', '얼굴', '예쁘신', '분', ';;']"
50,0, 좋지만은 않았던 여러 사건 있던 만큼 남자 좀 더 신중히 만나면 좋겠어요 ;; 간통 사건 있으셨고  ,"['좋지만은', '않았던', '여러', '사건', '있던', '만큼', '남자', '좀', '더', '신중히', '만나면', '좋겠어요', ';;', '간통', '사건', '있으셨고']"
51,1, 궁금해 조용히 있는 듯 없는 듯 사는 게 맞지 이혼  재혼 근데 쉽게 쉽게는 아니다 뭐 든지 매사 ,"['궁금해', '조용히', '있는', '듯', '없는', '듯', '사는', '게', '맞지', '이혼', '재혼', '근데', '쉽게', '쉽게는', '아니다', '뭐', '든지', '매사']"
52,1, 선정 씨 참 인생 거 쉬기 하게 사시는구먼 요  참 이해 할 수가 없네요  ,"['선정', '씨', '참', '인생', '거', '쉬기', '하게', '사시는구먼', '요', '참', '이해', '할', '수가', '없네요']"
53,1, 메가를 워마드 김  치년 지네 처럼 이혼 녀 감싸주려고 애쓴다  ,"['메가를', '워마드', '김', '치년', '지네', '처럼', '이혼', '녀', '감싸주려고', '애쓴다']"
54,1, 그러길래 45일 만에 초 고속 스피드 결혼  말 방귀  결혼 애 장난 아니고 두고두고 ㅠ 겪어 보면서 이모 잘 살펴봐도 이혼 하니 많이 할 마당  잠깐 미쳐서 판단력 흐려 그랬던 걸 생각 계기 잘 골라 만나길  ,"['그러길래', '45일', '만에', '초', '고속', '스피드', '결혼', '말', '방귀', '결혼', '애', '장난', '아니고', '두고두고', 'ㅠ', '겪어', '보면서', '이모', '잘', '살펴봐도', '이혼', '하니', '많이', '할', '마당', '잠깐', '미쳐서', '판단력', '흐려', '그랬던', '걸', '생각', '계기', '잘', '골라', '만나길']"
55,0, 후회 있지만 후회 말 싶지 않은  과 같은 뉘앙스 네  ,"['후회', '있지만', '후회', '말', '싶지', '않은', '과', '같은', '뉘앙스', '네']"
56,0, 많이 이뻐졌네 백치 미의 대명사 ,"['많이', '이뻐졌네', '백치', '미의', '대명사']"
57,0, 이선정 잘 했다  ,"['이선정', '잘', '했다']"
58,1, 개 걸 래 연예 인들 ㅋㅋ ,"['개', '걸', '래', '연예', '인들', 'ㅋㅋ']"
59,1, 이분 컵 엄청 크신 분 아닌가  옛날 제이 야동 배우 랑 사귀었던 같은데 옛날 옛적 일이 네 ,"['이분', '컵', '엄청', '크신', '분', '아닌가', '옛날', '제이', '야동', '배우', '랑', '사귀었던', '같은데', '옛날', '옛적', '일이', '네']"
60,1, 걸레 빨아도  ,"['걸레', '빨아도']"
61,0, 건강하세요 ,['건강하세요']
62,1, 잔소리 너무 심해 영 ㅠㅠ ,"['잔소리', '너무', '심해', '영', 'ㅠㅠ']"
63,1, 잔소리 대신 본인 하시면 어떨까 요  따님 똑똑하고 착해서 금방 배울것 같은데  ㅎㅎ 음식 아내 분께만 맡기지 않는 게 낫 않을까요  ,"['잔소리', '대신', '본인', '하시면', '어떨까', '요', '따님', '똑똑하고', '착해서', '금방', '배울것', '같은데', 'ㅎㅎ', '음식', '아내', '분께만', '맡기지', '않는', '게', '낫', '않을까요']"
64,0, 볶음밥 본인 해 드실 수도 있을 텐데 ,"['볶음밥', '본인', '해', '드실', '수도', '있을', '텐데']"
65,0, 혹시 마음 인 건 알 지만 그래도 아이 아빠 잔소리 싫은 거 죠 ,"['혹시', '마음', '인', '건', '알', '지만', '그래도', '아이', '아빠', '잔소리', '싫은', '거', '죠']"
66,0, 잔소리 많을수록 아이 점점 멀어집니다 ,"['잔소리', '많을수록', '아이', '점점', '멀어집니다']"
67,0, 잔소리 좀 줄이면  ,"['잔소리', '좀', '줄이면']"
68,1, 아니 너무 잔소리 청소 청소 하면서 애가 눈치 보게 건 아닌 거 같아요 폐암 시 니 모두 배려 해야 건 맞지만 와 이건 촬영 이라 그런 건지  보기 너무 불편했어요 ,"['아니', '너무', '잔소리', '청소', '청소', '하면서', '애가', '눈치', '보게', '건', '아닌', '거', '같아요', '폐암', '시', '니', '모두', '배려', '해야', '건', '맞지만', '와', '이건', '촬영', '이라', '그런', '건지', '보기', '너무', '불편했어요']"
69,1, 잔소리 너무 심한 듯 ,"['잔소리', '너무', '심한', '듯']"
70,0, 딸 참 잘 키운 같다 ,"['딸', '참', '잘', '키운', '같다']"
71,0, 둘째 딸 너무 착하네요 잘 해주세요 ,"['둘째', '딸', '너무', '착하네요', '잘', '해주세요']"
72,1, 담배 얼마나 펴 댔으면 그런 병 걸렸겠냐 가족 있으면 책임감 가져야지 인생 대충 살 면 어떻게 하냐 ,"['담배', '얼마나', '펴', '댔으면', '그런', '병', '걸렸겠냐', '가족', '있으면', '책임감', '가져야지', '인생', '대충', '살', '면', '어떻게', '하냐']"
73,1, 그러고도 네 가장이 라고 할 수 있냐 만약 담배 때문 아니더라도 검진 꼬박꼬박 받아서 초기 문제 생기 면 약물 치료 나을 수 있는 병들을 키우고 사 니까 꼴 된 거 잖아 종합 검진 3 개월 번 씩 받냐 ,"['그러고도', '네', '가장이', '라고', '할', '수', '있냐', '만약', '담배', '때문', '아니더라도', '검진', '꼬박꼬박', '받아서', '초기', '문제', '생기', '면', '약물', '치료', '나을', '수', '있는', '병들을', '키우고', '사', '니까', '꼴', '된', '거', '잖아', '종합', '검진', '3', '개월', '번', '씩', '받냐']"
74,1, 연예인 생활 겸 사업 한다고 들었는데 돈 어디 쓰고 싸 돌아다녀서 병 키운 거야 인생 참 한심하게 산다 여기 댓글 달 노 애 잘 듣고 명 심해 라 건강 에다가 쓰는 돈 아깝단 생각 버려라 건강 나가는 돈 지랄 해도 된다 ,"['연예인', '생활', '겸', '사업', '한다고', '들었는데', '돈', '어디', '쓰고', '싸', '돌아다녀서', '병', '키운', '거야', '인생', '참', '한심하게', '산다', '여기', '댓글', '달', '노', '애', '잘', '듣고', '명', '심해', '라', '건강', '에다가', '쓰는', '돈', '아깝단', '생각', '버려라', '건강', '나가는', '돈', '지랄', '해도', '된다']"
75,0, 시어머니 보단 홍현희 더 이쁜데 ,"['시어머니', '보단', '홍현희', '더', '이쁜데']"
76,0, 많이 예뻐졌다  ,"['많이', '예뻐졌다']"
77,1, 뭐 자랑 이라고 이야기 하신다  ,"['뭐', '자랑', '이라고', '이야기', '하신다']"
78,0, 연예인 이란 이유 가족 빚 갚아야 하나 ,"['연예인', '이란', '이유', '가족', '빚', '갚아야', '하나']"
79,0, 왜 이영자 에게 물어보지도 않고 이영자 보 꾸 줬다니 ,"['왜', '이영자', '에게', '물어보지도', '않고', '이영자', '보', '꾸', '줬다니']"
80,1, 한밤 방송 할 내용 되게 없나 보네 이영자 사기 친 아닌데 어처구니없네 ,"['한밤', '방송', '할', '내용', '되게', '없나', '보네', '이영자', '사기', '친', '아닌데', '어처구니없네']"
81,1, 본인 입 합의 했다면서 왜 이제 와서 난리 임  그럼 합의 하지 말던가 ,"['본인', '입', '합의', '했다면서', '왜', '이제', '와서', '난리', '임', '그럼', '합의', '하지', '말던가']"
82,0, 잘 부탁 한다  quot ;  돈 빌려주라 내 책임지겠다는 말 아니죠  이미 합의 사항 이고 이영자 씨 책임질 일 아니지요  ,"['잘', '부탁', '한다', 'quot', ';', '돈', '빌려주라', '내', '책임지겠다는', '말', '아니죠', '이미', '합의', '사항', '이고', '이영자', '씨', '책임질', '일', '아니지요']"
83,0, 합의 했으면 끝난 거지 때 거 네  ,"['합의', '했으면', '끝난', '거지', '때', '거', '네']"
84,1, 적폐 온 상이 구먼  내 남불 쩐다  자기 깨끗한 척 유세 떨더니 알 보니 더 추잡한 들임  ,"['적폐', '온', '상이', '구먼', '내', '남불', '쩐다', '자기', '깨끗한', '척', '유세', '떨더니', '알', '보니', '더', '추잡한', '들임']"
85,0, 우파 더 부패했다는 건 경향  오마이 뉴스  영화계 같은 좌파 언론 및 기업 만든 프레임 일 뿐 실제 로는 좌파 훨씬 부패함  ,"['우파', '더', '부패했다는', '건', '경향', '오마이', '뉴스', '영화계', '같은', '좌파', '언론', '및', '기업', '만든', '프레임', '일', '뿐', '실제', '로는', '좌파', '훨씬', '부패함']"
86,1, 좌파 기본 장착 옵션 내 남 불이죠  전라도 태생 기본 옵션 내 남 불이죠  자기 이념 과 다르면 죽 듯이 달려들고 자기 하면 그것 괜찮다는 방식  청와대 직원 90 전라도 애 이라 그런 거 라 우리 이해 해줍시다 ;; ,"['좌파', '기본', '장착', '옵션', '내', '남', '불이죠', '전라도', '태생', '기본', '옵션', '내', '남', '불이죠', '자기', '이념', '과', '다르면', '죽', '듯이', '달려들고', '자기', '하면', '그것', '괜찮다는', '방식', '청와대', '직원', '90', '전라도', '애', '이라', '그런', '거', '라', '우리', '이해', '해줍시다', ';;']"
87,0, 인간 부패하기 쉽다  누구 나가  단지 공인 공사 구분 해야 한다  박근혜 정부 이어 촛불 정권 잡았으면 더욱 도덕성 말 없어야 되는데 별반 차이 없다  아니 더하면 더할테죠  ㅠㅠ ,"['인간', '부패하기', '쉽다', '누구', '나가', '단지', '공인', '공사', '구분', '해야', '한다', '박근혜', '정부', '이어', '촛불', '정권', '잡았으면', '더욱', '도덕성', '말', '없어야', '되는데', '별반', '차이', '없다', '아니', '더하면', '더할테죠', 'ㅠㅠ']"
88,1, 우파 부패하고  좌파 무능한 줄 알았는데  좌파 무능 부패 까지 네  ,"['우파', '부패하고', '좌파', '무능한', '줄', '알았는데', '좌파', '무능', '부패', '까지', '네']"
89,1, 365일 24시간 불철 주야 일 했다 하더구먼  그래서 혈 세로 새벽 밥집 없어 술집 회의 했다고 카드 문제 생기니 변명 하더구먼  술 처 먹고 음주운전  무고 시민 폭행  골프 치고  부정 청탁  불법 향응 제공 받고  도대체 무슨 일 했거니  역대 최악 적폐 정권  ,"['365일', '24시간', '불철', '주야', '일', '했다', '하더구먼', '그래서', '혈', '세로', '새벽', '밥집', '없어', '술집', '회의', '했다고', '카드', '문제', '생기니', '변명', '하더구먼', '술', '처', '먹고', '음주운전', '무고', '시민', '폭행', '골프', '치고', '부정', '청탁', '불법', '향응', '제공', '받고', '도대체', '무슨', '일', '했거니', '역대', '최악', '적폐', '정권']"
90,0, 단 가지  지난 세월호 때 교육부 장관 아침 부터 굶어 의자 한편 컵라면 하나 먹었다고 언론 몰매 맞고 자리 물러남  물러나야 될 상황 오면 물러나야 되는데 이번 엔 그냥 안면 몰수 많다는  ,"['단', '가지', '지난', '세월호', '때', '교육부', '장관', '아침', '부터', '굶어', '의자', '한편', '컵라면', '하나', '먹었다고', '언론', '몰매', '맞고', '자리', '물러남', '물러나야', '될', '상황', '오면', '물러나야', '되는데', '이번', '엔', '그냥', '안면', '몰수', '많다는']"
91,0, 김 수 사관 대한 감찰 과정 민정수 석 실 소속 다른 직원 일부 주말 골프 친 사실 확인 했으나  사안 별로 평가 해 소속 총 이첩 했다  역시 원칙 대로 처리 청와대 얼마 만이 냐  언론 신나서 문제 라도 되는 양 선동 하는데  원칙 대로 처리 청와대 모범 답안 이라고 본다  의혹 이라고 부풀려 선동 좀 하지 마라 ,"['김', '수', '사관', '대한', '감찰', '과정', '민정수', '석', '실', '소속', '다른', '직원', '일부', '주말', '골프', '친', '사실', '확인', '했으나', '사안', '별로', '평가', '해', '소속', '총', '이첩', '했다', '역시', '원칙', '대로', '처리', '청와대', '얼마', '만이', '냐', '언론', '신나서', '문제', '라도', '되는', '양', '선동', '하는데', '원칙', '대로', '처리', '청와대', '모범', '답안', '이라고', '본다', '의혹', '이라고', '부풀려', '선동', '좀', '하지', '마라']"
92,1, 업무 시간  주말 골프 친 아니고만 뭐 문제 냐  언론사 물어 뜯고 싶어서 난리 고만 ㅉㅉ 그리고 민정수 석 실 빠르게 조사 거 잖아 욕 거 보면 기사 읽었네 ,"['업무', '시간', '주말', '골프', '친', '아니고만', '뭐', '문제', '냐', '언론사', '물어', '뜯고', '싶어서', '난리', '고만', 'ㅉㅉ', '그리고', '민정수', '석', '실', '빠르게', '조사', '거', '잖아', '욕', '거', '보면', '기사', '읽었네']"
93,0, 김 대변인  quot ; 이번 사안 민정수 석 실 권한 내 조사 마치 결과 소속 총 이첩 했다  quot ; 며  quot ; 소속 청 감찰 통해 사실관계 최종 확정 되기 전 에는 일방 주장 보도 되지 않기를 희망 한다  quot ; 말 했다  ㅡ 청와대 제대로 처리 했네 언론 또 문제 그만 ,"['김', '대변인', 'quot', ';', '이번', '사안', '민정수', '석', '실', '권한', '내', '조사', '마치', '결과', '소속', '총', '이첩', '했다', 'quot', ';', '며', 'quot', ';', '소속', '청', '감찰', '통해', '사실관계', '최종', '확정', '되기', '전', '에는', '일방', '주장', '보도', '되지', '않기를', '희망', '한다', 'quot', ';', '말', '했다', 'ㅡ', '청와대', '제대로', '처리', '했네', '언론', '또', '문제', '그만']"
94,1, 무슨 골프 치는 거 가지 그래 ㅋㅋ 와 인식 정말 낡았네 기자 ,"['무슨', '골프', '치는', '거', '가지', '그래', 'ㅋㅋ', '와', '인식', '정말', '낡았네', '기자']"
95,1, 청와대 신속하게 조치 취했  과정 대변인 통해 서 공개 하는데  괜히 조국 수석 머리 채 잡는 야당  기러기 뭐 니  ,"['청와대', '신속하게', '조치', '취했', '과정', '대변인', '통해', '서', '공개', '하는데', '괜히', '조국', '수석', '머리', '채', '잡는', '야당', '기러기', '뭐', '니']"
96,1, 자기 앞가림 하면서 검찰 개혁  사법 개혁  코미디 따로 없다 너 네나 기강 잡고 검찰 개혁 사법 개혁 해  ,"['자기', '앞가림', '하면서', '검찰', '개혁', '사법', '개혁', '코미디', '따로', '없다', '너', '네나', '기강', '잡고', '검찰', '개혁', '사법', '개혁', '해']"
97,1, 보수 그냥 부패했고 좌파 교묘하게 부패했다 ,"['보수', '그냥', '부패했고', '좌파', '교묘하게', '부패했다']"
98,1, 이번 뼈 저리 게 배운 건 우리나라 진보 없다는 거 빨갱이 선동 자 이며 보수 보다도 훨씬 더 더럽고 추 접하다는 거 ,"['이번', '뼈', '저리', '게', '배운', '건', '우리나라', '진보', '없다는', '거', '빨갱이', '선동', '자', '이며', '보수', '보다도', '훨씬', '더', '더럽고', '추', '접', '하다는', '거']"
99,1, 임종석 박아 논 의전 비서 관 전대협 빨  갱  김종천  술 쳐  드시고 여직원 끼 운전 하다 걸려 바로 아웃  청와대 경호처 직원 대통령 경호 하 랬 더니 술 처 먹고 시민 폭행 해서 현행범 체포  반 부 폐비 서관 실  부패 척 결하 랬 더니 근무시간 접대 골프  비서 관 송인 배는 불법 정치자금 수수 기소  이쯤 되면 sns 밑 직원 탓 한가하게 입장 문 발표 할 게 아니라 임종석 이든 조국 이든 석 대죄 사퇴 게 생각 있는 행동 아닌가   주사파 빨  갱  이라 철판 뇌 없어서 기대할 수 없겠네  대통령 부터 병맛 이라 ,"['임종석', '박아', '논', '의전', '비서', '관', '전대협', '빨', '갱', '김종천', '술', '쳐', '드시고', '여직원', '끼', '운전', '하다', '걸려', '바로', '아웃', '청와대', '경호처', '직원', '대통령', '경호', '하', '랬', '더니', '술', '처', '먹고', '시민', '폭행', '해서', '현행범', '체포', '반', '부', '폐비', '서관', '실', '부패', '척', '결하', '랬', '더니', '근무시간', '접대', '골프', '비서', '관', '송인', '배는', '불법', '정치자금', '수수', '기소', '이쯤', '되면', 'sns', '밑', '직원', '탓', '한가하게', '입장', '문', '발표', '할', '게', '아니라', '임종석', '이든', '조국', '이든', '석', '대죄', '사퇴', '게', '생각', '있는', '행동', '아닌가', '주사파', '빨', '갱', '이라', '철판', '뇌', '없어서', '기대할', '수', '없겠네', '대통령', '부터', '병맛', '이라']"
100,1, 수꼴 문 대통령 골프 친다고 무시 욕 했던 거 똑똑히 기억 하는데 ㅋㅋㅋ 골프 치는 게 부패한 거 라니  개 소나 골프 치는 시대 ㅋㅋ 기러기 치잖아  주말 골프 친걸 왜 문제 삼는지 모를  ,"['수꼴', '문', '대통령', '골프', '친다고', '무시', '욕', '했던', '거', '똑똑히', '기억', '하는데', 'ㅋㅋㅋ', '골프', '치는', '게', '부패한', '거', '라니', '개', '소나', '골프', '치는', '시대', 'ㅋㅋ', '기러기', '치잖아', '주말', '골프', '친걸', '왜', '문제', '삼는지', '모를']"
101,1, 어찌 보면  촛불 물러나게 됐던 그네 되려 너무 깨끗해서 일 테  내 로남불 현 정권 누가 뭐라건 북 있는 거 없는 거 싹 끌어다 퍼주  정작 당국 엔 지디 피 좀 낮으면 어떠냐 행복 학 느  끼 면 됐지라는 개소릴  누가 뭐라건 환상 허우적거릴 뿐  조폭 같은 민노총 중심  대놓고 부패한 집단  좌파  무섭다 난 앞 으로의 대한민국 너무  가슴 아프다 ㅜㅠ ,"['어찌', '보면', '촛불', '물러나게', '됐던', '그네', '되려', '너무', '깨끗해서', '일', '테', '내', '로남불', '현', '정권', '누가', '뭐라건', '북', '있는', '거', '없는', '거', '싹', '끌어다', '퍼주', '정작', '당국', '엔', '지디', '피', '좀', '낮으면', '어떠냐', '행복', '학', '느', '끼', '면', '됐지라는', '개소릴', '누가', '뭐라건', '환상', '허우적거릴', '뿐', '조폭', '같은', '민노총', '중심', '대놓고', '부패한', '집단', '좌파', '무섭다', '난', '앞', '으로의', '대한민국', '너무', '가슴', '아프다', 'ㅜㅠ']"
102,1, 문재인 과 청와대 적폐 자체 네  내 하면 로맨스 남 하면 적폐 네  게 나라 다운 나라 인가요  비핵화 하나 없는데 대북 제재 완화 얘기 북한 에만 퍼주 김정은 대변인 역할 비핵화 하나 없이 선제 안보 해체 무장해제 귤 인지 무엇 인지 불분명 200 톤 퍼주 비핵화 없이는 남북 경 협 절대 불가 인데 남북 경 협 예산 5천억 넣으려고 애쓰고 세금 전 세계 미식 여행 정말 너무나 한심합니다 ,"['문재인', '과', '청와대', '적폐', '자체', '네', '내', '하면', '로맨스', '남', '하면', '적폐', '네', '게', '나라', '다운', '나라', '인가요', '비핵화', '하나', '없는데', '대북', '제재', '완화', '얘기', '북한', '에만', '퍼주', '김정은', '대변인', '역할', '비핵화', '하나', '없이', '선제', '안보', '해체', '무장해제', '귤', '인지', '무엇', '인지', '불분명', '200', '톤', '퍼주', '비핵화', '없이는', '남북', '경', '협', '절대', '불가', '인데', '남북', '경', '협', '예산', '5천억', '넣으려고', '애쓰고', '세금', '전', '세계', '미식', '여행', '정말', '너무나', '한심합니다']"
